时间	开盘	最高	最低	收盘	涨跌	涨幅%	振幅%	总手(万)	金额(亿)	
1992-03-26,四	379.29	379.34	377.64	379.13	+1.01	0.27	0.450	2390100	24177846	
1992-03-27,五	379.65	380.79	379.13	380.77	+1.64	0.43	0.438	900	5469466	
1992-03-30,一	381.54	381.56	380.76	381.44	+0.67	0.18	0.210	4012900	40359446	
1992-03-31,二	381.87	382.06	381.24	381.24	-0.20	-0.05	0.215	5321100	53853180	
1992-04-01,三	381.55	381.85	381.01	381.01	-0.23	-0.06	0.220	771600	7767958	
1992-04-02,四	381.47	381.58	381.01	381.12	+0.11	0.03	0.150	314800	3193021	
1992-04-03,五	381.44	381.57	381.12	381.33	+0.21	0.06	0.118	316000	3377037	
1992-04-06,一	381.97	382.08	381.33	381.47	+0.14	0.04	0.197	1436900	14543601	
1992-04-07,二	381.95	382.10	381.47	381.93	+0.46	0.12	0.165	3009500	30266448	
1992-04-08,三	382.53	382.59	381.92	382.43	+0.50	0.13	0.175	525900	5277806	
1992-04-09,四	381.93	382.88	381.65	381.65	-0.78	-0.20	0.322	683700	7148212	
1992-04-10,五	381.52	382.04	381.20	382.03	+0.38	0.10	0.220	1287400	13499395	
1992-04-13,一	387.27	392.28	382.03	391.11	+9.08	2.38	2.68	5124700	52440252	
1992-04-14,二	393.10	400.61	391.10	400.61	+9.50	2.43	2.43	2484100	25184919	
1992-04-15,三	400.35	406.72	398.23	406.72	+6.11	1.53	2.12	2454600	25157481	
1992-04-16,四	404.07	410.61	403.52	410.55	+3.83	0.94	1.74	4924000	57466537	
1992-04-17,五	408.56	414.42	406.19	414.42	+3.87	0.94	2.00	4494500	45102529	
1992-04-20,一	417.19	420.99	413.64	413.85	-0.57	-0.14	1.77	2294100	23206812	
1992-04-21,二	417.99	421.55	402.89	410.06	-3.79	-0.92	4.51	7206000	72181075	
1992-04-22,三	400.12	410.06	399.87	399.88	-10.18	-2.48	2.49	7215200	73539966	
1992-04-23,四	407.13	408.86	394.60	407.25	+7.37	1.84	3.57	6915400	71062030	
1992-04-24,五	405.88	415.05	397.74	414.40	+7.15	1.76	4.25	4693800	47646455	
1992-04-27,一	422.45	424.92	413.47	424.58	+10.18	2.46	2.76	5121600	53584928	
1992-04-28,二	434.90	436.31	424.58	436.09	+11.51	2.71	2.76	4776000	53950373	
1992-04-29,三	445.25	446.12	436.09	444.16	+8.07	1.85	2.30	5945100	66766725	
1992-04-30,四	435.73	448.94	433.66	445.38	+1.22	0.27	3.44	4447100	52587303	
1992-05-04,一	454.86	456.24	445.38	453.62	+8.24	1.85	2.44	9893300	101358171	
1992-05-05,二	447.42	455.36	439.96	449.21	-4.41	-0.97	3.39	7725800	78293128	
1992-05-06,三	449.78	454.08	446.39	449.96	+0.75	0.17	1.71	5433300	54371218	
1992-05-07,四	452.86	457.05	449.55	454.65	+4.69	1.04	1.67	5006800	51743917	
1992-05-08,五	461.05	468.42	454.65	468.11	+13.46	2.96	3.03	8392400	84729008	
1992-05-11,一	483.29	491.50	468.11	490.50	+22.39	4.78	5.00	9400	60653968	
1992-05-12,二	502.80	506.68	491.50	506.53	+16.03	3.27	3.09	6523000	65369229	
1992-05-13,三	505.27	517.86	499.40	514.04	+7.51	1.48	3.64	6420500	64664418	
1992-05-14,四	514.48	523.50	511.91	523.36	+9.32	1.81	2.25	5911100	60063574	
