序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
1,GB/T 18268.31-2022,测量、控制和实验室用的电设备 电磁兼容性要求 第31部分：安全相关系统和预期执行安全相关功能（功能安全）设备的抗扰度要求  一般工业应用,"Electrical equipment for measurement, control and laboratory use—EMC requirements—Part 31: Immunity requirements for safety-related systems and for equipment intended to perform safety-related functions (functional safety)—General industrial applications",即将实施,N10,25.040.40;33.100.20,2022-10-14,2023-05-01,中国机械工业联合会,中国机械工业联合会,国家市场监督管理总局、国家标准化管理委员会,
2,GB/T 18268.32-2022,测量、控制和实验室用的电设备 电磁兼容性要求 第32部分：安全相关系统和预期执行安全相关功能（功能安全）设备的抗扰度要求 特定电磁环境的工业应用,"Electrical equipment for measurement, control and laboratory use—EMC requirements—Part 32: Immunity requirements for safety-related systems and for equipment intended to perform safety-related functions (functional safety)—Industrial applications with specified electromagnetic environment",即将实施,N10,25.040.40;33.100.20,2022-10-14,2023-05-01,中国机械工业联合会,中国机械工业联合会,国家市场监督管理总局、国家标准化管理委员会,
3,GB/T 41685-2022,小麦安全生产的土壤镉、铅、铬、汞、砷阈值,Safety thresholds of Cd、Pb、Cr、Hg、As in soil for wheat production,即将实施,B10,13.080,2022-10-14,2023-05-01,农业农村部,农业农村部,国家市场监督管理总局、国家标准化管理委员会,
4,GB/T 41786-2022,公共安全 生物特征识别 术语,Public security—Biometric recognition—Terminology,即将实施,A91,13.310,2022-10-14,2023-05-01,公安部,公安部,国家市场监督管理总局、国家标准化管理委员会,
5,GB/T 3565.1-2022,自行车安全要求  第1部分：术语和定义,Safety requirements for bicycles—Part 1: Terms and definitions,即将实施,Y14,43.150,2022-10-14,2023-08-01,中国轻工业联合会,中国轻工业联合会,国家市场监督管理总局、国家标准化管理委员会,
6,GB/T 41990-2022,公共安全 虹膜识别应用 采集设备,Public security—Iris recognition applications—Capture devices,即将实施,A91,13.310,2022-10-14,2023-05-01,公安部,公安部,国家市场监督管理总局、国家标准化管理委员会,
7,GB/T 41989-2022,公共安全 虹膜识别应用 算法评测方法,Public security—Iris recognition applications—Test methods for algorithms,即将实施,A91,13.310,2022-10-14,2023-05-01,公安部,公安部,国家市场监督管理总局、国家标准化管理委员会,
8,GB/T 41988-2022,公共安全 虹膜识别应用 图像技术要求,Public security—Iris recognition applications—Technical requirements for iris images,即将实施,A91,13.310,2022-10-14,2023-05-01,公安部,公安部,国家市场监督管理总局、国家标准化管理委员会,
9,GB/T 41987-2022,公共安全 人脸识别应用 防假体呈现攻击测试方法,Public security—Face recognition applications—Test methods for presentation attack detection with fake face,即将实施,A91,13.310,2022-10-14,2023-05-01,公安部,公安部,国家市场监督管理总局、国家标准化管理委员会,
10,GB/T 41789-2022,智能家用电器的通用安全技术要求,General safety technology requirements for intelligent household  appliances,即将实施,Y60,97.030,2022-10-14,2023-05-01,中国轻工业联合会,中国轻工业联合会,国家市场监督管理总局、国家标准化管理委员会,
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
序号,标准编号,标准名称,英文名称,状态,中国标准分类号（CCS）,国际标准分类号（ICS）,发布日期,实施日期,主管部门,归口单位,发布单位,备注
